time,USD bal,BTC bal,BTC bid,BTC ask,BTC diff,LTC bid,LTC ask,LTC diff,DOGE bid,DOGE ask,DOGE diff
Sun Jan 18 18:34:29 2015 , 7.42397363779 , 0.0370734633349 , 200.25034 , 219.97297 , -0.13547124 , 153.94101 , 157.04999 , 0.0 , 1503823.60000 , 1549276.70000 , 259476.79693 
Sun Jan 18 21:38:13 2015 , 7.42385565955 , 0.0370691607923 , 200.27040 , 219.95198 , -0.13547124 , 156.85448 , 157.85000 , 0.0 , 1503861.10000 , 1527995.40000 , 259476.79693 
Mon Jan 19 00:42:09 2015 , 7.42936778627 , 0.0370503468605 , 200.52087 , 219.00000 , -0.13547124 , 156.89352 , 157.85000 , 0.0 , 1504025.10000 , 1549276.70000 , 259476.79693 
Mon Jan 19 03:45:44 2015 , 7.63713344699 , 0.0370734633349 , 206.00000 , 215.99770 , -0.13547124 , 156.00621 , 157.49199 , 0.0 , 1503823.60000 , 1549276.70000 , 259476.79693 
Mon Jan 19 06:49:22 2015 , 7.12403537569 , 0.0345507633779 , 206.19039 , 215.00000 , -0.1374173 , 156.25000 , 157.10000 , 0.0 , 1526380.90000 , 1556171.30000 , 262488.76735 
Mon Jan 19 09:52:56 2015 , 7.97123691264 , 0.0377783739936 , 211.00000 , 215.00000 , -0.13539981 , 157.48188 , 158.00000 , 0.0 , 1498426.40000 , 1523704.10000 , 259494.7628 
Mon Jan 19 12:56:31 2015 , 7.9106464401 , 0.037487662023 , 211.02000 , 219.99190 , -0.13737854 , 157.48188 , 158.00000 , 0.0 , 1501186.30000 , 1528070.20000 , 262506.74681 
Mon Jan 19 16:00:08 2015 , 7.9010285428 , 0.0374438512158 , 211.01004 , 219.96871 , -0.13737854 , 157.51702 , 158.86335 , 0.0 , 1501562.50000 , 1539000.00000 , 262506.74681 
Mon Jan 19 19:03:47 2015 , 7.91027306299 , 0.037487662023 , 211.01004 , 219.95706 , -0.13737854 , 157.60593 , 159.22169 , 0.0 , 1501186.30000 , 1539000.00000 , 262506.74681 
Mon Jan 19 22:07:23 2015 , 7.90611146049 , 0.0374679432782 , 211.01002 , 219.93622 , -0.13737854 , 157.30000 , 158.47599 , 0.0 , 1501355.60000 , 1527566.00000 , 262506.74681 
Tue Jan 20 01:10:58 2015 , 7.33544839629 , 0.034930706649 , 210.00000 , 219.91321 , -0.13932802 , 157.97781 , 159.23570 , 0.0 , 1523704.00000 , 1551502.90000 , 265518.71883 
Tue Jan 20 04:14:32 2015 , 8.01464817865 , 0.0384589237241 , 208.39502 , 219.88996 , -0.13536073 , 157.49900 , 159.00000 , 0.0 , 1493000.00000 , 1523703.90000 , 259512.74301 
Tue Jan 20 07:18:13 2015 , 8.26185649802 , 0.0401041449146 , 206.01004 , 219.86785 , -0.13536073 , 157.23271 , 158.55369 , 0.0 , 1479001.10000 , 1505189.50000 , 259512.74301 
Tue Jan 20 10:21:55 2015 , 8.29445327019 , 0.0402623778697 , 206.01002 , 219.84520 , -0.13523901 , 158.00000 , 159.16777 , 0.0 , 1479000.50000 , 1504944.10000 , 259566.64041 
Tue Jan 20 13:25:32 2015 , 8.0428695452 , 0.0390386651424 , 206.02317 , 219.82339 , -0.13513817 , 158.00000 , 159.82979 , 0.0 , 1490505.60000 , 1490505.70000 , 259611.54817 
Tue Jan 20 16:29:10 2015 , 7.15396408376 , 0.0347210687996 , 206.04101 , 219.81881 , -0.14610927 , 158.60000 , 159.82979 , 0.0 , 1534665.20000 , 1557685.30000 , 277514.02806 
Tue Jan 20 19:32:46 2015 , 7.81790805954 , 0.0379379269379 , 206.07104 , 218.99816 , -0.14215074 , 158.00001 , 159.80899 , 0.0 , 1507685.20000 , 1534653.60000 , 271517.01783 
Tue Jan 20 22:36:23 2015 , 8.25092152876 , 0.0400392094336 , 206.07104 , 218.99991 , -0.14213119 , 158.00001 , 159.74449 , 0.0 , 1490505.60000 , 1516845.40000 , 271526.00051 
Wed Jan 21 01:39:58 2015 , 8.25172311373 , 0.0400392094336 , 206.09106 , 218.99991 , -0.14213119 , 158.76267 , 159.99999 , 0.0 , 1490505.60000 , 1505263.20000 , 271526.00051 
Wed Jan 21 04:43:31 2015 , 8.27913855412 , 0.0401722352931 , 206.09106 , 218.99875 , -0.14211135 , 158.50549 , 159.79999 , 0.0 , 1489629.40000 , 1516845.10000 , 271534.98779 
Wed Jan 21 07:47:07 2015 , 8.80290334811 , 0.0427136594286 , 206.09106 , 218.99851 , -0.14202236 , 157.87397 , 159.00000 , 0.0 , 1470000.00000 , 1557673.00000 , 271561.94856 
Wed Jan 21 10:50:41 2015 , 9.39842544285 , 0.0456010511874 , 206.10107 , 215.99999 , -0.13598015 , 157.23017 , 159.65899 , 0.0 , 1445925.90000 , 1489628.70000 , 262552.96175 
Wed Jan 21 13:54:21 2015 , 9.42763945901 , 0.0457583541264 , 206.03100 , 215.99999 , -0.13586021 , 159.06087 , 159.80000 , 0.0 , 1445925.30000 , 1489628.30000 , 262606.87682 
Wed Jan 21 16:57:56 2015 , 9.30187170898 , 0.0433319844533 , 214.66526 , 233.93288 , -0.13579919 , 162.26737 , 163.80000 , 0.0 , 1466153.70000 , 1470600.30000 , 262633.83421 
Wed Jan 21 20:01:32 2015 , 9.12118868151 , 0.0405350096472 , 225.02002 , 239.97017 , -0.13981726 , 162.71491 , 164.47369 , 0.0 , 1489628.00000 , 1509729.30000 , 268657.79073 
Wed Jan 21 23:05:08 2015 , 9.13557652575 , 0.0405867803926 , 225.08749 , 239.92073 , -0.13977758 , 160.60166 , 162.82599 , 0.0 , 1489627.80000 , 1519248.70000 , 268675.76537 
Thu Jan 22 05:12:33 2015 , 10.1725479258 , 0.044417721567 , 229.02003 , 234.98977 , -0.13571953 , 160.32392 , 161.20000 , 0.0 , 1458164.70000 , 1489627.70000 , 262669.78139 
Thu Jan 22 08:16:14 2015 , 9.54878906698 , 0.0416558601457 , 229.23039 , 269.98993 , -0.13770413 , 161.59277 , 162.96993 , 0.0 , 1481376.80000 , 1500000.00000 , 265699.72825 
Thu Jan 22 11:19:53 2015 , 8.05482505759 , 0.0357948427803 , 225.02753 , 269.99760 , -0.14520527 , 161.59277 , 164.81800 , 0.0 , 1534665.30000 , 1557685.20000 , 277774.59238 
Thu Jan 22 14:23:28 2015 , 8.6608071401 , 0.0384785401061 , 225.08149 , 269.94600 , -0.14325045 , 162.80001 , 164.50000 , 0.0 , 1511985.50000 , 1537585.60000 , 274771.59797 
