Timestamp, net profit USD, net profit BTC, BTC/USD, differential BTC , LTC/BTC, differential LTC,  DOGE/BTC, differential DOGE , TIPS/LTC, differential TIPS , MOON/LTC , differential MOON
Tue Dec 23 00:30:31 2014 , 14.3065547234 , 0.0440513431763 , 324.77 , -0.03412976 , 0.00862275 , 0 , 5.8e-07 , 134795.005476 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Dec 23 03:34:06 2014 , 14.4492427567 , 0.0440552556763 , 327.98 , -0.0341278 , 0.00863315 , 0 , 5.8e-07 , 134798.371856 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Dec 23 06:37:41 2014 , 14.4492427567 , 0.0440552556763 , 327.98 , -0.0341278 , 0.008674 , 0 , 5.8e-07 , 134798.371856 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Dec 23 09:41:14 2014 , 14.8924541459 , 0.0454024393949 , 328.01 , -0.0338041 , 0.00861246 , 0 , 5.9e-07 , 134248.371856 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Dec 23 12:44:49 2014 , 14.9613851237 , 0.0454063281449 , 329.5 , -0.03380215 , 0.00859899 , 0 , 5.9e-07 , 134251.657873 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Dec 23 15:48:25 2014 , 14.9968020597 , 0.0454063281449 , 330.28 , -0.03380215 , 0.00859998 , 0 , 5.9e-07 , 134251.657873 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Dec 23 18:51:58 2014 , 14.9981053987 , 0.0454102743087 , 330.28 , -0.03380019 , 0.00855114 , 0 , 5.9e-07 , 134255.024252 , 1.2e-07 , 0 , 1.8e-07 , 0 
Tue Dec 23 21:55:32 2014 , 15.008095659 , 0.0454102743087 , 330.5 , -0.03380019 , 0.00857176 , 0 , 5.9e-07 , 134255.024252 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Dec 24 00:59:07 2014 , 14.5685292288 , 0.0440669365662 , 330.6 , -0.03412193 , 0.00856195 , 0 , 5.8e-07 , 134808.390631 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Dec 24 04:02:45 2014 , 14.5239786679 , 0.0440748298118 , 329.53 , -0.03411799 , 0.00860465 , 0 , 5.8e-07 , 134815.206572 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Dec 24 07:06:19 2014 , 14.5129599604 , 0.0440748298118 , 329.28 , -0.03411799 , 0.0086088 , 0 , 5.8e-07 , 134815.206572 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Dec 24 10:09:53 2014 , 14.5129599604 , 0.0440748298118 , 329.28 , -0.03411799 , 0.00859154 , 0 , 5.8e-07 , 134815.206572 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Dec 24 13:13:34 2014 , 14.5129599604 , 0.0440748298118 , 329.28 , -0.03411799 , 0.0084 , 0 , 5.8e-07 , 134815.206572 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Dec 24 16:17:10 2014 , 14.351205335 , 0.0440748298118 , 325.61 , -0.03411799 , 0.00839158 , 0 , 5.8e-07 , 134815.206572 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Dec 24 19:20:47 2014 , 14.7167869283 , 0.0454221818775 , 324.0 , -0.03379429 , 0.00840004 , 0 , 5.9e-07 , 134265.206572 , 1.2e-07 , 0 , 1.8e-07 , 0 
Wed Dec 24 22:24:21 2014 , 14.6940758374 , 0.0454221818775 , 323.5 , -0.03379429 , 0.00848151 , 0 , 5.9e-07 , 134265.206572 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 25 01:28:05 2014 , 14.2484534523 , 0.0440787423118 , 323.25 , -0.03411603 , 0.008543 , 0 , 5.8e-07 , 134818.572951 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 25 04:31:41 2014 , 13.7547170937 , 0.0427297828323 , 321.9 , -0.03443227 , 0.00853198 , 0 , 5.7e-07 , 135372.022513 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 25 07:35:15 2014 , 14.176562908 , 0.0440827230574 , 321.59 , -0.03411405 , 0.00841055 , 0 , 5.8e-07 , 134822.022513 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 25 10:38:51 2014 , 14.6098797782 , 0.0454301432825 , 321.59 , -0.03379035 , 0.00841256 , 0 , 5.9e-07 , 134272.022513 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 25 13:42:24 2014 , 14.1160998391 , 0.0440866355574 , 320.19 , -0.03411209 , 0.00840399 , 0 , 5.8e-07 , 134825.388892 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 25 16:46:00 2014 , 14.027926568 , 0.0440866355574 , 318.19 , -0.03411209 , 0.00850201 , 0 , 5.8e-07 , 134825.388892 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 25 19:49:36 2014 , 13.5986794636 , 0.0427376079185 , 318.19 , -0.03442833 , 0.00845338 , 0 , 5.7e-07 , 135378.838453 , 1.2e-07 , 0 , 1.8e-07 , 0 
Thu Dec 25 22:53:10 2014 , 14.0142023919 , 0.044090616303 , 317.85 , -0.03411011 , 0.00847 , 0 , 5.8e-07 , 134828.838453 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 26 01:56:47 2014 , 14.0455067295 , 0.044090616303 , 318.56 , -0.03411011 , 0.008543 , 0 , 5.8e-07 , 134828.838453 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 26 05:00:22 2014 , 14.0455067295 , 0.044090616303 , 318.56 , -0.03411011 , 0.00850948 , 0 , 5.8e-07 , 134828.838453 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 26 08:04:05 2014 , 14.0472703541 , 0.044090616303 , 318.6 , -0.03411011 , 0.00850949 , 0 , 5.8e-07 , 134828.838453 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 26 11:07:41 2014 , 14.5059638184 , 0.0454390546875 , 319.24 , -0.03378546 , 0.00855999 , 0 , 5.9e-07 , 134278.838453 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 26 14:11:17 2014 , 14.5727592288 , 0.0454390546875 , 320.71 , -0.03378546 , 0.00854996 , 0 , 5.9e-07 , 134278.838453 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 26 17:14:53 2014 , 14.6245597512 , 0.0454390546875 , 321.85 , -0.03378546 , 0.00842641 , 0 , 5.9e-07 , 134278.838453 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 26 20:18:36 2014 , 13.7579233701 , 0.0427463830047 , 321.85 , -0.03442344 , 0.00854999 , 0 , 5.7e-07 , 135385.654394 , 1.2e-07 , 0 , 1.8e-07 , 0 
Fri Dec 26 23:22:16 2014 , 14.2392744936 , 0.0440994595486 , 322.89 , -0.03410522 , 0.00860322 , 0 , 5.8e-07 , 134835.654394 , 1.2e-07 , 0 , 1.8e-07 , 0 
