Timestamp, net profit USD, net profit BTC, BTC/USD, differential BTC , LTC/BTC, differential LTC,  DOGE/BTC, differential DOGE , TIPS/LTC, differential TIPS , MOON/LTC , differential MOON
Thu Mar 20 15:49:59 2014 , -7.74034183651 , -0.0129604035908 , 597.23 , -0.05126778 , 0.0277488 , 0.10527066 , 1.22e-06 , 28297.2578612 , 1.2e-07 , 37065.1324581 , 1.8e-07 , 148187.744398 
Thu Mar 20 17:30:02 2014 , -7.78695617861 , -0.0130384544959 , 597.23 , -0.05126313 , 0.02773989 , 0.10476777 , 1.22e-06 , 28298.2236517 , 1.2e-07 , 37065.1324581 , 1.6e-07 , 151229.490721 
Thu Mar 20 19:07:04 2014 , -7.78438606823 , -0.0130341511113 , 597.23 , -0.05125389 , 0.028 , 0.10454913 , 1.22e-06 , 28300.1416845 , 1.2e-07 , 37065.1324581 , 1.5e-07 , 152774.178221 
Thu Mar 20 20:46:50 2014 , -7.60023824295 , -0.0127623559964 , 595.52 , -0.05063767 , 0.0278999 , 0.10454913 , 1.23e-06 , 27800.7743647 , 1.2e-07 , 37065.1324581 , 1.5e-07 , 152774.178221 
Thu Mar 20 22:23:16 2014 , -7.59453939034 , -0.0127750965387 , 594.48 , -0.05063614 , 0.0277888 , 0.10454913 , 1.23e-06 , 27801.0873729 , 1.2e-07 , 37065.1324581 , 1.5e-07 , 152774.178221 
Fri Mar 21 00:00:48 2014 , -7.3867838034 , -0.0124951939432 , 591.17 , -0.05001647 , 0.0278027 , 0.10454913 , 1.24e-06 , 27301.400381 , 1.2e-07 , 37065.1324581 , 1.5e-07 , 152774.178221 
Fri Mar 21 01:39:18 2014 , -7.37884194208 , -0.0124817598019 , 591.17 , -0.05001494 , 0.02789 , 0.10454913 , 1.24e-06 , 27301.7133891 , 1.2e-07 , 37065.1324581 , 1.5e-07 , 152774.178221 
Fri Mar 21 03:19:33 2014 , -7.31701581387 , -0.0123771771468 , 591.17 , -0.05001035 , 0.02823419 , 0.10660295 , 1.24e-06 , 27302.6524135 , 1.3e-07 , 23065.1324581 , 1.6e-07 , 151274.178221 
Fri Mar 21 04:56:18 2014 , -7.30873859877 , -0.0123711278098 , 590.79 , -0.05001035 , 0.0282794 , 0.10660295 , 1.24e-06 , 27302.6524135 , 1.3e-07 , 23065.1324581 , 1.6e-07 , 151274.178221 
Fri Mar 21 06:32:45 2014 , -7.31867500545 , -0.0123661777968 , 591.83 , -0.05001035 , 0.028 , 0.10685718 , 1.24e-06 , 27302.6524135 , 1.3e-07 , 23065.1324581 , 1.7e-07 , 149774.178221 
Fri Mar 21 08:09:30 2014 , -7.55698079249 , -0.012929187484 , 584.49 , -0.05122936 , 0.0275399 , 0.10712637 , 1.22e-06 , 28305.1831346 , 1.3e-07 , 23065.1324581 , 1.8e-07 , 148274.178221 
Fri Mar 21 09:46:54 2014 , -7.57769910944 , -0.0129646343127 , 584.49 , -0.05122625 , 0.02753988 , 0.10690837 , 1.22e-06 , 28305.829253 , 1.3e-07 , 23065.1324581 , 1.7e-07 , 149875.250525 
Fri Mar 21 11:23:18 2014 , -7.5858593599 , -0.0129785956302 , 584.49 , -0.05122317 , 0.0274 , 0.10693903 , 1.22e-06 , 28306.4685972 , 1.3e-07 , 23065.1324581 , 1.7e-07 , 149934.576505 
Fri Mar 21 12:59:32 2014 , -7.41360170159 , -0.0126838811641 , 584.49 , -0.05060849 , 0.02744 , 0.10889315 , 1.23e-06 , 27806.7816054 , 1.4e-07 , 9065.13245811 , 1.7e-07 , 149934.576505 
Fri Mar 21 14:36:19 2014 , -7.58074162532 , -0.0129698397326 , 584.49 , -0.0512201 , 0.02740989 , 0.10703672 , 1.22e-06 , 28307.1012775 , 1.3e-07 , 23316.8632273 , 1.7e-07 , 149934.576505 
Fri Mar 21 16:12:45 2014 , -7.71930955655 , -0.0132069146719 , 584.49 , -0.0518267 , 0.02745459 , 0.10730591 , 1.21e-06 , 28807.4277238 , 1.3e-07 , 23316.8632273 , 1.8e-07 , 148434.576505 
Fri Mar 21 18:04:34 2014 , -8.05387308318 , -0.0137793171537 , 584.49 , -0.05301035 , 0.0274 , 0.10731615 , 1.19e-06 , 29811.2073878 , 1.3e-07 , 23316.8632273 , 1.8e-07 , 148454.760329 
Fri Mar 21 21:07:59 2014 , -7.86743952328 , -0.0134603492331 , 584.49 , -0.05240247 , 0.0274766 , 0.10731615 , 1.2e-06 , 29313.2710095 , 1.3e-07 , 23316.8632273 , 1.8e-07 , 148454.760329 
Sat Mar 22 00:11:28 2014 , -7.99757957182 , -0.0136830049647 , 584.49 , -0.05299583 , 0.02737748 , 0.10791156 , 1.19e-06 , 29814.2991394 , 1.3e-07 , 23316.8632273 , 2e-07 , 145461.905066 
Sat Mar 22 03:14:54 2014 , -8.64696015875 , -0.0147940258323 , 584.49 , -0.00707457 , 0.02720048 , 0.16954799 , 1.19e-06 , -9542.73407119 , 1.3e-07 , -283604.826749 , 1.2e-07 , 8411.42192656 
